State Code,State Name,Year,Month,Intra_State_No_Of_Suppliers,Intra_State_No_Of_Eway_Bills,Intra_State_Asset_Value_Rs._In_Cr,Inter_State_Outward_No_Of_Suppliers,Inter_State_Outward_No_Of_Eway_Bills,Inter_State_Outward_Asset_Value_Rs_ In_Cr,Inter_State_Inward_No_Of_Suppliers,Inter_State_Inward_No_Of_Eway_Bills,Inter_State_Inward_Asset_Value_Rs._In_Cr
26, DADRA AND NAGAR HAVELI,2019,1,1212,54139,1924,1961,269661,9801,2965,116893,8050
27, MAHARASHTRA,2019,1,115060,4553614,113725,99706,2979283,104178,178784,2270374,100749
29, KARNATAKA,2019,1,79284,2831778,52673,42094,1269899,44014,91237,1375092,49578
30, GOA,2019,1,1383,68264,1052,1468,54193,4103,6849,97515,3376
31, LAKSHADWEEP,2019,1,0,0,0,1,1,0,36,311,9
32, KERALA,2019,1,30903,1023584,15707,12579,157366,6268,47838,649775,15124
33, TAMIL NADU,2019,1,64441,2873017,61322,61037,1555990,56887,94987,1346552,60006
34, PUDUCHERRY,2019,1,836,25350,819,1886,94570,2797,4867,82307,2374
35, ANDAMAN AND NICOBAR,2019,1,16,217,6,45,192,16,898,7955,200
36, TELANGANA,2019,1,26105,1011310,22354,25524,524008,22039,51109,767823,27233
37, ANDHRA PRADESH,2019,1,30280,1100019,20425,18804,362391,22880,61778,688454,27422
97, Other Territory,2019,1,2,65,35,22,2331,1193,267,7814,1338
1, JAMMU AND KASHMIR,2019,2,3715,95262,1638,1901,25377,1620,14121,125241,3616
2, HIMACHAL PRADESH,2019,2,6611,195056,3869,4590,239628,9393,18170,246461,7511
3, PUNJAB,2019,2,50677,1117374,28920,41828,685671,20730,60915,736047,22531
4, CHANDIGARH,2019,2,2175,25141,431,4831,71000,1364,7962,100383,2122
5, UTTARAKHAND,2019,2,10146,512263,8642,7032,305088,15901,21082,401603,11716
6, HARYANA,2019,2,57752,2257169,42391,51239,1917447,54765,84813,1451072,50742
7, DELHI,2019,2,55235,782767,30821,116832,1513673,36820,109386,1371118,40625
8, RAJASTHAN,2019,2,61507,1310601,28659,44742,1241601,27928,84518,999225,31044
