State Code,State Name,Year,Month,Intra_State_Supplies_(No._Of_Suppliers),Intra_State_Supplies_(No._Of_Eway_Bills),Intra_State_Supplies(Asset_Value_(Rs._In_Cr.)),Inter_State_Outward_Supplies(No._Of_Suppliers),Inter_State_Outward_Supplies(No._Of_Eway_Bills),Inter_State_Outward_Supplies(Asset_Value_(Rs_ In_Cr.)),Inter_State_Inward_Supplies(No._Of_Suppliers),Inter_State_Inward_Supplies(No._Of_Eway_Bills),Inter_State_Inward_Supplies(Asset_Value_(Rs._In_Cr.))
25,DAMAN AND DIU,2021,12, -   , -   , -   ,2,10,37.4,14,99,238.16
26,DADRA AND NAGAR HAVELI,2021,12,"2,829","125,969","516,096.95","3,801","450,573","1,895,614.14","5,356","197,353","1,591,482.31"
27,MAHARASHTRA,2021,12,"141,201","6,665,602","17,337,204.37","114,402","4,183,424","15,639,373.94","204,830","3,049,444","14,791,531.80"
29,KARNATAKA,2021,12,"103,238","4,321,435","8,109,406.23","52,618","2,069,038","7,045,954.16","114,962","1,900,819","19,749,641.86"
30,GOA,2021,12,"1,876","101,598","164,397.93","1,706","70,108","486,023.36","8,082","126,661","525,660.09"
31,LAKSHADWEEP,2021,12,1,1,12.5,1,1,0.76,50,516,814.49
32,KERALA,2021,12,"43,252","1,698,465","2,439,257.12","15,860","181,887","906,289.01","56,977","749,505","2,118,164.94"
33,TAMIL NADU,2021,12,"90,950","4,646,992","9,593,004.44","72,404","2,303,465","23,863,912.52","117,760","2,033,457","8,957,569.80"
34,PUDUCHERRY,2021,12,"1,045","40,672","215,713.03","1,892","109,330","400,614.13","5,610","110,341","347,769.39"
35,ANDAMAN AND NICOBAR,2021,12,34,845,"1,964.22",56,208,"1,841.57","1,106","12,179","27,430.30"
36,TELANGANA,2021,12,"44,588","2,194,211","4,010,328.47","33,717","785,687","3,705,118.98","65,277","1,269,409","4,312,516.96"
37,ANDHRA PRADESH,2021,12,"35,639","1,720,658","3,056,477.46","22,152","461,005","3,815,610.50","75,983","1,126,532","3,943,906.44"
38,LADAKH,2021,12,34,356,"1,138.46",35,90,476.53,548,"2,638","8,847.90"
97,Other Territory,2021,12,7,91,"3,176.80",25,"4,762","64,306.45",282,"11,916","230,960.91"
1,JAMMU AND KASHMIR,2021,11,"5,503","192,641","317,109.90","3,224","35,904","226,493.91","18,882","196,818","591,868.46"
2,HIMACHAL PRADESH,2021,11,"8,117","248,793","539,157.71","5,172","246,298","1,095,316.16","21,978","290,558","1,019,033.27"
3,PUNJAB,2021,11,"64,354","1,600,487","4,060,453.28","50,765","1,049,479","2,891,836.70","65,997","824,325","2,962,878.65"
4,CHANDIGARH,2021,11,"2,117","28,474","40,244.84","4,872","73,538","152,052.82","8,160","114,546","250,500.32"
5,UTTARAKHAND,2021,11,"11,974","528,324","944,554.57","8,349","313,379","1,625,732.51","25,678","428,497","1,401,757.16"
6,HARYANA,2021,11,"68,831","2,419,705","5,080,790.22","60,173","2,844,805","6,774,935.15","96,221","1,742,877","6,551,515.80"
7,DELHI,2021,11,"65,023","876,700","3,292,388.78","119,621","1,543,722","4,139,886.46","117,057","1,615,191","4,681,844.77"
8,RAJASTHAN,2021,11,"58,658","1,250,276","3,544,302.28","47,567","1,194,225","3,644,029.19","94,717","1,168,936","4,545,283.03"
9,UTTAR PRADESH,2021,11,"117,577","3,296,765","7,184,240.51","79,037","1,427,804","5,763,462.06","179,931","2,306,905","7,789,498.44"
10,BIHAR,2021,11,"6,941","391,200","829,425.73","6,544","68,656","279,467.68","51,955","578,157","1,553,915.51"
11,SIKKIM,2021,11,123,"4,568","8,790.64",178,"6,727","277,566.13","1,819","34,385","115,419.30"
12,ARUNACHAL PRADESH,2021,11,141,"2,391","4,958.68",232,"1,840","14,252.27","3,001","33,168","67,279.75"
13,NAGALAND,2021,11,118,"1,481","5,759.01",262,"3,437","11,428.77","2,614","32,755","59,443.88"
14,MANIPUR,2021,11,81,"3,246","8,790.43",104,564,"1,632.50","2,802","42,454","77,915.04"
15,MIZORAM,2021,11,65,891,"1,652.30",69,320,"1,202.20","2,028","33,251","54,896.70"
16,TRIPURA,2021,11,"1,406","35,747","84,703.07",436,"2,956","41,345.65","4,350","39,793","94,673.92"
17,MEGHALAYA,2021,11,431,"12,553","28,621.98",448,"30,109","70,529.29","3,653","48,330","100,790.12"
18,ASSAM,2021,11,"11,912","461,840","851,553.64","9,744","214,625","722,796.57","25,796","302,998","1,073,563.34"
19,WEST BENGAL,2021,11,"42,412","1,728,193","4,591,790.04","38,629","809,091","3,721,705.49","61,663","1,025,068","4,305,569.23"
20,JHARKHAND,2021,11,"8,969","463,788","1,136,000.87","6,932","193,845","1,452,261.41","24,988","368,452","1,444,775.11"
21,ODISHA,2021,11,"14,599","823,113","1,975,439.06","6,097","251,174","2,891,344.24","31,504","388,844","1,823,687.65"
22,CHHATTISGARH,2021,11,"5,127","195,823","726,411.33","7,370","139,587","1,591,396.96","22,749","337,780","1,388,125.46"
23,MADHYA PRADESH,2021,11,"17,514","475,174","1,157,341.39","19,113","388,303","2,197,714.70","68,961","814,104","2,947,746.54"
24,GUJARAT,2021,11,"134,688","3,369,975","11,263,571.08","122,359","3,262,419","11,133,249.19","124,739","1,532,927","9,305,169.60"
25,DAMAN AND DIU,2021,11, -   , -   , -   ,4,8,10.17,11,51,102.6
26,DADRA AND NAGAR HAVELI,2021,11,"2,677","106,241","459,007.86","3,608","350,605","1,503,317.49","5,081","163,185","1,366,699.46"
27,MAHARASHTRA,2021,11,"130,499","5,718,872","14,713,590.64","105,321","3,467,344","13,283,209.86","186,112","2,480,471","12,907,303.32"
29,KARNATAKA,2021,11,"96,142","3,745,725","6,861,802.26","48,081","1,740,557","5,973,118.96","104,342","1,639,117","6,147,722.85"
30,GOA,2021,11,"1,788","89,345","155,367.65","1,586","60,092","430,463.45","7,366","110,439","445,115.24"
31,LAKSHADWEEP,2021,11,1,1,6.07,1,2,4.01,44,407,909.23
32,KERALA,2021,11,"41,531","1,519,401","2,201,042.98","14,777","165,479","917,169.40","52,713","636,386","1,902,485.71"
33,TAMIL NADU,2021,11,"80,467","3,699,416","7,573,326.46","65,017","1,959,609","7,051,845.84","102,457","1,552,372","7,235,190.50"
34,PUDUCHERRY,2021,11,922,"32,176","177,335.79","1,771","98,411","333,211.97","4,869","87,642","304,956.70"
35,ANDAMAN AND NICOBAR,2021,11,32,933,"2,314.75",58,212,"2,263.93","1,006","9,888","22,139.33"
36,TELANGANA,2021,11,"41,776","1,979,293","3,564,915.48","31,294","706,501","3,123,947.99","60,411","1,024,991","3,656,573.80"
37,ANDHRA PRADESH,2021,11,"32,629","1,457,072","2,600,557.66","20,110","380,817","3,726,667.12","68,365","898,562","3,297,649.24"
38,LADAKH,2021,11,34,487,"1,690.01",62,304,"2,534.06","1,131","8,471","23,486.46"
97,Other Territory,2021,11,6,71,"19,694.26",23,"2,170","56,441.47",234,"8,878","218,433.41"
1,JAMMU AND KASHMIR,2021,10,"5,516","199,759","3,255.82","3,405","42,272","2,640.33","18,924","197,750","4,922.91"
2,HIMACHAL PRADESH,2021,10,"8,532","308,925","6,310.81","5,404","296,824","12,908.79","24,054","310,667","9,141.12"
3,PUNJAB,2021,10,"67,839","1,895,588","47,739.86","53,016","1,238,940","33,538.39","63,914","727,859","25,272.75"
